Date,Value
139,14.40.39,4.48
140,14.40.39,4.43
141,14.40.39,4.44
142,14.40.39,4.42
143,14.40.39,4.42
144,14.40.39,4.43
145,14.40.39,4.43
146,14.40.39,4.43
147,14.40.40,4.43
148,14.40.40,4.42
149,14.40.40,4.42
150,14.40.40,4.42
151,14.40.40,4.42
152,14.40.40,4.42
153,14.40.40,4.42
154,14.40.40,4.43
155,14.40.40,4.41
156,14.40.40,4.4
157,14.40.40,4.41
158,14.40.40,4.39
159,14.40.40,4.39
160,14.40.40,4.43
161,14.40.40,4.42
162,14.40.40,4.42
163,14.40.40,4.42
164,14.40.40,4.42
165,14.40.40,4.42
166,14.40.40,4.42
167,14.40.41,4.42
168,14.40.41,4.42
169,14.40.41,4.42
170,14.40.41,4.41
171,14.40.41,4.38
172,14.40.41,4.38
173,14.40.41,4.42
174,14.40.41,4.43
175,14.40.41,4.4
176,14.40.41,4.45
177,14.40.41,4.39
178,14.40.41,4.36
179,14.40.41,4.36
180,14.40.41,4.36
181,14.40.41,4.37
182,14.40.41,4.39
183,14.40.41,4.37
184,14.40.41,4.37
185,14.40.41,4.36
186,14.40.41,4.34
187,14.40.42,4.39
188,14.40.42,4.37
189,14.40.42,4.36
190,14.40.42,4.36
191,14.40.42,4.36
192,14.40.42,4.36
193,14.40.42,4.37
194,14.40.42,4.36
195,14.40.42,4.37
196,14.40.42,4.4
197,14.40.42,4.36
198,14.40.42,4.36
199,14.40.42,4.36
200,14.40.42,4.37
201,14.40.42,4.34
202,14.40.42,4.34
203,14.40.42,4.3
204,14.40.42,4.32
205,14.40.42,4.32
206,14.40.42,4.33
207,14.40.43,4.32
208,14.40.43,4.28
209,14.40.43,4.29
210,14.40.43,4.28
211,14.40.43,4.24
212,14.40.43,4.3
213,14.40.43,4.29
214,14.40.43,4.27
215,14.40.43,4.26
216,14.40.43,4.26
217,14.40.43,4.24
218,14.40.43,4.21
219,14.40.43,4.26
220,14.40.43,4.22
221,14.40.43,4.21
222,14.40.43,4.22
223,14.40.43,4.21
224,14.40.43,4.21
225,14.40.43,4.17
226,14.40.43,4.21
227,14.40.44,4.19
228,14.40.44,4.19
229,14.40.44,4.17
230,14.40.44,4.17
231,14.40.44,4.16
232,14.40.44,4.14
233,14.40.44,4.14
234,14.40.44,4.12
235,14.40.44,4.12
236,14.40.44,4.12
237,14.40.44,4.15
238,14.40.44,4.12
239,14.40.44,4.1
240,14.40.44,4.1
241,14.40.44,4.08
242,14.40.44,4.07
243,14.40.44,4.07
244,14.40.44,4.07
245,14.40.44,4.08
246,14.40.44,4.07
247,14.40.45,4.04
248,14.40.45,4.04
249,14.40.45,4.03
250,14.40.45,4.04
251,14.40.45,4.04
252,14.40.45,4.04
253,14.40.45,4.04
254,14.40.45,4.04
255,14.40.45,4.04
256,14.40.45,4.04
257,14.40.45,4.04
258,14.40.45,4.04
259,14.40.45,4.05
260,14.40.45,4.04
261,14.40.45,4.04
262,14.40.45,4.04
263,14.40.45,4.04
264,14.40.45,4.03
265,14.40.45,4.04
266,14.40.45,4.06
267,14.40.46,4.08
268,14.40.46,4.04
269,14.40.46,4.04
270,14.40.46,4.05
271,14.40.46,4.04
272,14.40.46,4.03
273,14.40.46,4.04
274,14.40.46,4.04
275,14.40.46,4.04
276,14.40.46,4.04
277,14.40.46,4.04
278,14.40.46,4.04
279,14.40.46,4.04
280,14.40.46,4.03
281,14.40.46,4.04
282,14.40.46,4.04
283,14.40.46,4.04
284,14.40.46,4.04
285,14.40.46,4.08
286,14.40.46,4.03
287,14.40.47,4.03
288,14.40.47,4.06
289,14.40.47,4.02
290,14.40.47,4.07
291,14.40.47,4.04
292,14.40.47,4.04
293,14.40.47,4.04
294,14.40.47,4.03
295,14.40.47,4.04
296,14.40.47,4.03
297,14.40.47,4.04
298,14.40.47,4.04
299,14.40.47,4.04
300,14.40.47,4.03
301,14.40.47,4.04
302,14.40.47,4.03
303,14.40.47,4.02
304,14.40.47,4.08
305,14.40.47,4.14
306,14.40.47,4.14
307,14.40.48,4.18
308,14.40.48,4.21
309,14.40.48,4.26
310,14.40.48,4.24
311,14.40.48,4.31
312,14.40.48,4.33
313,14.40.48,4.39
314,14.40.48,4.36
315,14.40.48,4.36
316,14.40.48,4.37
317,14.40.48,4.39
318,14.40.48,4.46
319,14.40.48,4.43
320,14.40.48,4.45
321,14.40.48,4.44
322,14.40.48,4.39
323,14.40.48,4.44
324,14.40.48,4.44
325,14.40.48,4.44
326,14.40.48,4.43
327,14.40.49,4.43
328,14.40.49,4.41
329,14.40.49,4.43
330,14.40.49,4.44
331,14.40.49,4.45
332,14.40.49,4.43
333,14.40.49,4.41
334,14.40.49,4.43
335,14.40.49,4.45
336,14.40.49,4.46
337,14.40.49,4.41
338,14.40.49,4.43
339,14.40.49,4.44
340,14.40.49,4.43
341,14.40.49,4.45
342,14.40.49,4.43
343,14.40.49,4.44
344,14.40.49,4.44
345,14.40.49,4.44
346,14.40.49,4.48
347,14.40.50,4.44
348,14.40.50,4.43
349,14.40.50,4.44
350,14.40.50,4.45
351,14.40.50,4.45
352,14.40.50,4.44
353,14.40.50,4.43
354,14.40.50,4.47
355,14.40.50,4.44
356,14.40.50,4.48
357,14.40.50,4.45
358,14.40.50,4.44
359,14.40.50,4.43
360,14.40.50,4.44
361,14.40.50,4.43
362,14.40.50,4.43
363,14.40.50,4.47
364,14.40.50,4.45
365,14.40.50,4.53
366,14.40.50,4.5
367,14.40.51,4.54
368,14.40.51,4.54
369,14.40.51,4.55
370,14.40.51,4.55
371,14.40.51,4.56
372,14.40.51,4.54
373,14.40.51,4.56
374,14.40.51,4.6
375,14.40.51,4.57
376,14.40.51,4.56
377,14.40.51,4.57
378,14.40.51,4.6
379,14.40.51,4.59
380,14.40.51,4.59
381,14.40.51,4.59
382,14.40.51,4.59
383,14.40.51,4.6
384,14.40.51,4.61
385,14.40.51,4.65
386,14.40.51,4.61
387,14.40.52,4.63
388,14.40.52,4.65
389,14.40.52,4.67
390,14.40.52,4.69
391,14.40.52,4.73
392,14.40.52,4.74
393,14.40.52,4.76
394,14.40.52,4.75
395,14.40.52,4.78
396,14.40.52,4.77
397,14.40.52,4.79
398,14.40.52,4.78
399,14.40.52,4.84
400,14.40.52,4.81
401,14.40.52,4.81
402,14.40.52,4.82
403,14.40.52,4.82
404,14.40.52,4.85
405,14.40.52,4.86
406,14.40.52,4.86
407,14.40.53,4.87
408,14.40.53,4.89
409,14.40.53,4.96
410,14.40.53,4.9
411,14.40.53,4.94
412,14.40.53,4.95
413,14.40.53,4.97
414,14.40.53,5.0
415,14.40.53,5.0
416,14.40.53,5.0
417,14.40.53,5.0
418,14.40.53,5.0
419,14.40.53,5.0
420,14.40.53,5.0
421,14.40.53,5.0
422,14.40.53,5.0
423,14.40.53,5.0
424,14.40.53,5.0
425,14.40.53,5.0
426,14.40.53,5.0
427,14.40.54,5.0
428,14.40.54,5.0
429,14.40.54,5.0
430,14.40.54,5.0
431,14.40.54,5.0
432,14.40.54,5.0
433,14.40.54,5.0
434,14.40.54,5.0
435,14.40.54,5.0
436,14.40.54,5.0
437,14.40.54,5.0
438,14.40.54,5.0
439,14.40.54,5.0
440,14.40.54,5.0
441,14.40.54,5.0
442,14.40.54,5.0
443,14.40.54,5.0
444,14.40.54,5.0
445,14.40.54,5.0
446,14.40.54,5.0
447,14.40.55,5.0
448,14.40.55,5.0
449,14.40.55,5.0
450,14.40.55,5.0
451,14.40.55,5.0
452,14.40.55,5.0
453,14.40.55,5.0
454,14.40.55,5.0
455,14.40.55,5.0
456,14.40.55,5.0
457,14.40.55,5.0
458,14.40.55,5.0
459,14.40.55,5.0
460,14.40.55,5.0
461,14.40.55,4.99
462,14.40.55,4.98
463,14.40.55,4.97
464,14.40.55,4.97
465,14.40.55,4.97
466,14.40.55,4.95
467,14.40.56,4.95
468,14.40.56,4.95
469,14.40.56,4.96
470,14.40.56,4.92
471,14.40.56,5.0
472,14.40.56,4.91
473,14.40.56,4.96
474,14.40.56,4.94
475,14.40.56,4.95
476,14.40.56,4.91
477,14.40.56,4.92
478,14.40.56,4.94
479,14.40.56,4.95
480,14.40.56,4.94
481,14.40.56,4.94
482,14.40.56,4.95
483,14.40.56,4.95
484,14.40.56,4.95
485,14.40.56,4.94
486,14.40.56,4.94
487,14.40.57,4.94
488,14.40.57,4.93
489,14.40.57,4.94
490,14.40.57,4.93
491,14.40.57,4.94
492,14.40.57,4.91
493,14.40.57,4.93
494,14.40.57,4.92
495,14.40.57,4.93
496,14.40.57,4.91
497,14.40.57,4.93
498,14.40.57,4.91
499,14.40.57,4.92
500,14.40.57,4.87
501,14.40.57,4.93
502,14.40.57,4.91
503,14.40.57,4.94
504,14.40.57,4.99
505,14.40.57,4.92
506,14.40.57,4.91
507,14.40.58,4.91
508,14.40.58,4.92
509,14.40.58,4.92
510,14.40.58,4.91
511,14.40.58,4.93
512,14.40.58,4.91
513,14.40.58,4.93
514,14.40.58,4.91
515,14.40.58,4.92
516,14.40.58,4.92
517,14.40.58,4.92
518,14.40.58,4.92
519,14.40.58,4.92
520,14.40.58,4.88
521,14.40.58,4.92
522,14.40.58,4.91
523,14.40.58,4.92
524,14.40.58,4.89
525,14.40.58,4.87
526,14.40.58,4.86
527,14.40.59,4.86
528,14.40.59,4.84
529,14.40.59,4.86
530,14.40.59,4.83
531,14.40.59,4.78
532,14.40.59,4.82
533,14.40.59,4.82
534,14.40.59,4.82
535,14.40.59,4.85
536,14.40.59,4.84
537,14.40.59,4.81
538,14.40.59,4.79
539,14.40.59,4.82
540,14.40.59,4.81
541,14.40.59,4.8
542,14.40.59,4.79
543,14.40.59,4.81
544,14.40.59,4.8
545,14.40.59,4.79
546,14.40.59,4.79
547,14.41.0,4.57
548,14.41.0,4.01
549,14.41.0,3.12
550,14.41.0,2.17
551,14.41.0,1.52
552,14.41.0,1.45
553,14.41.0,2.1
554,14.41.0,3.07
555,14.41.0,3.93
556,14.41.0,4.75
557,14.41.0,5.0
558,14.41.0,5.0
559,14.41.0,5.0
560,14.41.0,5.0
561,14.41.0,5.0
562,14.41.0,5.0
563,14.41.0,5.0
564,14.41.0,5.0
565,14.41.0,5.0
566,14.41.0,5.0
567,14.41.1,5.0
568,14.41.1,5.0
569,14.41.1,5.0
570,14.41.1,5.0
571,14.41.1,5.0
572,14.41.1,5.0
573,14.41.1,5.0
574,14.41.1,5.0
575,14.41.1,5.0
576,14.41.1,5.0
577,14.41.1,5.0
578,14.41.1,5.0
579,14.41.1,5.0
580,14.41.1,5.0
581,14.41.1,5.0
582,14.41.1,5.0
583,14.41.1,5.0
584,14.41.1,4.88
585,14.41.1,4.77
586,14.41.1,4.74
587,14.41.2,4.74
588,14.41.2,4.73
589,14.41.2,4.76
590,14.41.2,4.78
591,14.41.2,4.74
592,14.41.2,4.75
593,14.41.2,4.73
594,14.41.2,4.75
595,14.41.2,4.74
596,14.41.2,4.73
597,14.41.2,4.75
598,14.41.2,4.75
599,14.41.2,4.74
600,14.41.2,4.74
601,14.41.2,4.68
602,14.41.2,4.64
603,14.41.2,4.64
604,14.41.2,4.64
605,14.41.2,4.64
606,14.41.2,4.67
607,14.41.3,4.63
608,14.41.3,4.53
609,14.41.3,4.44
610,14.41.3,4.35
611,14.41.3,4.34
612,14.41.3,4.35
613,14.41.3,4.35
614,14.41.3,4.34
615,14.41.3,4.35
616,14.41.3,4.36
617,14.41.3,4.34
618,14.41.3,4.35
619,14.41.3,4.35
620,14.41.3,4.36
621,14.41.3,4.34
622,14.41.3,4.37
623,14.41.3,4.36
624,14.41.3,4.35
625,14.41.3,4.36
626,14.41.3,4.35
627,14.41.4,4.4
628,14.41.4,4.35
629,14.41.4,4.35
630,14.41.4,4.35
631,14.41.4,4.34
632,14.41.4,4.37
633,14.41.4,4.35
634,14.41.4,4.36
635,14.41.4,4.35
636,14.41.4,4.36
637,14.41.4,4.39
638,14.41.4,4.37
639,14.41.4,4.38
640,14.41.4,4.41
641,14.41.4,4.45
642,14.41.4,4.52
643,14.41.4,4.61
644,14.41.4,4.57
645,14.41.4,4.6
646,14.41.4,4.67
647,14.41.5,4.63
648,14.41.5,4.63
649,14.41.5,4.64
650,14.41.5,4.67
651,14.41.5,4.66
652,14.41.5,4.66
653,14.41.5,4.66
654,14.41.5,4.67
655,14.41.5,4.66
656,14.41.5,4.67
657,14.41.5,4.64
658,14.41.5,4.66
659,14.41.5,4.67
660,14.41.5,4.59
661,14.41.5,4.62
662,14.41.5,4.57
663,14.41.5,4.54
664,14.41.5,4.57
665,14.41.5,4.5
666,14.41.5,4.49
667,14.41.6,4.49
668,14.41.6,4.49
669,14.41.6,4.46
670,14.41.6,4.46
671,14.41.6,4.45
672,14.41.6,4.42
673,14.41.6,4.46
674,14.41.6,4.49
675,14.41.6,4.57
676,14.41.6,4.61
677,14.41.6,4.63
678,14.41.6,4.63
679,14.41.6,4.63
680,14.41.6,4.63
681,14.41.6,4.63
682,14.41.6,4.63
683,14.41.6,4.67
684,14.41.6,4.73
685,14.41.6,4.79
686,14.41.6,4.83
687,14.41.7,4.87
688,14.41.7,4.9
689,14.41.7,4.92
690,14.41.7,4.96
691,14.41.7,5.0
692,14.41.7,5.0
693,14.41.7,5.0
694,14.41.7,5.0
695,14.41.7,5.0
696,14.41.7,5.0
697,14.41.7,5.0
698,14.41.7,5.0
699,14.41.7,5.0
700,14.41.7,5.0
701,14.41.7,5.0
702,14.41.7,5.0
703,14.41.7,5.0
704,14.41.7,5.0
705,14.41.7,5.0
706,14.41.7,5.0
707,14.41.8,5.0
708,14.41.8,5.0
709,14.41.8,5.0
710,14.41.8,5.0
711,14.41.8,4.97
712,14.41.8,4.95
713,14.41.8,4.95
714,14.41.8,4.94
715,14.41.8,4.94
716,14.41.8,4.88
717,14.41.8,4.89
718,14.41.8,4.89
719,14.41.8,4.86
720,14.41.8,4.88
721,14.41.8,4.88
722,14.41.8,4.86
723,14.41.8,4.84
724,14.41.8,4.84
725,14.41.8,4.83
726,14.41.8,4.82
727,14.41.9,4.83
728,14.41.9,4.84
729,14.41.9,4.79
730,14.41.9,4.84
731,14.41.9,4.85
732,14.41.9,4.86
733,14.41.9,4.85
734,14.41.9,4.88
735,14.41.9,4.84
736,14.41.9,4.9
737,14.41.9,4.92
738,14.41.9,4.92
739,14.41.9,4.94
740,14.41.9,4.94
741,14.41.9,4.91
742,14.41.9,4.74
743,14.41.9,4.27
744,14.41.9,3.55
745,14.41.9,2.7
746,14.41.9,2.25
747,14.41.10,2.45
748,14.41.10,3.18
749,14.41.10,4.08
750,14.41.10,4.85
751,14.41.10,5.0
752,14.41.10,5.0
753,14.41.10,5.0
754,14.41.10,5.0
755,14.41.10,5.0
756,14.41.10,5.0
757,14.41.10,5.0
758,14.41.10,5.0
759,14.41.10,5.0
760,14.41.10,5.0
761,14.41.10,5.0
762,14.41.10,4.86
763,14.41.10,4.77
764,14.41.10,4.66
765,14.41.10,4.65
766,14.41.10,4.6
767,14.41.11,4.59
768,14.41.11,4.6
769,14.41.11,4.59
770,14.41.11,4.61
771,14.41.11,4.59
772,14.41.11,4.67
773,14.41.11,4.8
774,14.41.11,4.86
775,14.41.11,4.92
776,14.41.11,4.96
777,14.41.11,5.0
778,14.41.11,5.0
779,14.41.11,5.0
780,14.41.11,5.0
781,14.41.11,5.0
782,14.41.11,5.0
783,14.41.11,5.0
784,14.41.11,5.0
785,14.41.11,5.0
786,14.41.11,5.0
787,14.41.12,5.0
788,14.41.12,5.0
789,14.41.12,5.0
790,14.41.12,4.94
791,14.41.12,4.84
792,14.41.12,4.82
793,14.41.12,4.81
794,14.41.12,4.82
795,14.41.12,4.82
796,14.41.12,4.8
797,14.41.12,4.8
798,14.41.12,4.78
799,14.41.12,4.74
800,14.41.12,4.65
801,14.41.12,4.62
802,14.41.12,4.63
803,14.41.12,4.59
804,14.41.12,4.59
805,14.41.12,4.57
806,14.41.12,4.57
807,14.41.13,4.56
808,14.41.13,4.54
809,14.41.13,4.49
810,14.41.13,4.47
811,14.41.13,4.46
812,14.41.13,4.45
813,14.41.13,4.41
814,14.41.13,4.43
815,14.41.13,4.43
816,14.41.13,4.41
817,14.41.13,4.4
818,14.41.13,4.41
819,14.41.13,4.39
820,14.41.13,4.37
821,14.41.13,4.36
822,14.41.13,4.34
823,14.41.13,4.32
824,14.41.13,4.32
825,14.41.13,4.32
826,14.41.13,4.35
827,14.41.14,4.31
828,14.41.14,4.31
829,14.41.14,4.29
830,14.41.14,4.29
831,14.41.14,4.26
832,14.41.14,4.29
833,14.41.14,4.28
834,14.41.14,4.26
835,14.41.14,4.29
836,14.41.14,4.3
837,14.41.14,4.29
838,14.41.14,4.28
839,14.41.14,4.29
840,14.41.14,4.29
841,14.41.14,4.28
842,14.41.14,4.28
843,14.41.14,4.29
844,14.41.14,4.26
845,14.41.14,4.29
846,14.41.14,4.28
847,14.41.15,4.28
848,14.41.15,4.25
849,14.41.15,4.27
850,14.41.15,4.28
851,14.41.15,4.27
852,14.41.15,4.28
853,14.41.15,4.26
854,14.41.15,4.28
855,14.41.15,4.27
856,14.41.15,4.28
857,14.41.15,4.27
858,14.41.15,4.29
859,14.41.15,4.27
860,14.41.15,4.28
861,14.41.15,4.27
862,14.41.15,4.28
863,14.41.15,4.28
864,14.41.15,4.28
865,14.41.15,4.26
866,14.41.15,4.28
867,14.41.16,4.28
868,14.41.16,4.27
869,14.41.16,4.26
870,14.41.16,4.3
871,14.41.16,4.28
872,14.41.16,4.25
873,14.41.16,4.28
874,14.41.16,4.28
875,14.41.16,4.27
876,14.41.16,4.19
877,14.41.16,3.96
878,14.41.16,3.84
879,14.41.16,3.78
880,14.41.16,3.78
881,14.41.16,3.57
882,14.41.16,3.28
883,14.41.16,3.2
884,14.41.16,3.35
885,14.41.16,3.96
886,14.41.16,4.89
887,14.41.17,5.0
888,14.41.17,5.0
889,14.41.17,5.0
890,14.41.17,5.0
891,14.41.17,5.0
892,14.41.17,5.0
893,14.41.17,5.0
894,14.41.17,5.0
895,14.41.17,5.0
896,14.41.17,5.0
897,14.41.17,5.0
898,14.41.17,5.0
899,14.41.17,5.0
900,14.41.17,5.0
901,14.41.17,5.0
902,14.41.17,5.0
903,14.41.17,5.0
904,14.41.17,4.99
905,14.41.17,4.88
906,14.41.17,4.79
907,14.41.18,4.71
908,14.41.18,4.64
909,14.41.18,4.61
910,14.41.18,4.59
911,14.41.18,4.59
912,14.41.18,4.56
913,14.41.18,4.51
914,14.41.18,4.48
915,14.41.18,4.43
916,14.41.18,4.36
917,14.41.18,4.32
918,14.41.18,4.3
919,14.41.18,4.33
920,14.41.18,4.47
921,14.41.18,4.65
922,14.41.18,4.69
923,14.41.18,4.69
924,14.41.18,4.69
925,14.41.18,4.64
926,14.41.18,4.59
927,14.41.19,4.53
928,14.41.19,4.47
929,14.41.19,4.43
930,14.41.19,4.4
931,14.41.19,4.39
932,14.41.19,4.39
933,14.41.19,4.39
934,14.41.19,4.39
935,14.41.19,4.35
936,14.41.19,4.43
937,14.41.19,4.47
938,14.41.19,4.5
939,14.41.19,4.51
940,14.41.19,4.57
941,14.41.19,4.6
942,14.41.19,4.67
943,14.41.19,4.74
944,14.41.19,4.82
945,14.41.19,4.86
946,14.41.19,4.89
947,14.41.20,4.89
948,14.41.20,4.89
949,14.41.20,4.87
950,14.41.20,4.82
951,14.41.20,4.71
952,14.41.20,4.61
953,14.41.20,4.57
954,14.41.20,4.49
955,14.41.20,4.38
956,14.41.20,4.35
957,14.41.20,4.31
958,14.41.20,4.3
959,14.41.20,4.31
960,14.41.20,4.27
961,14.41.20,4.25
962,14.41.20,4.23
963,14.41.20,4.18
964,14.41.20,4.22
965,14.41.20,4.19
966,14.41.20,4.17
967,14.41.21,4.17
968,14.41.21,4.17
969,14.41.21,4.18
970,14.41.21,4.16
971,14.41.21,4.17
972,14.41.21,4.15
973,14.41.21,4.17
974,14.41.21,4.18
975,14.41.21,4.18
976,14.41.21,4.18
977,14.41.21,4.18
978,14.41.21,4.17
979,14.41.21,4.17
980,14.41.21,4.18
981,14.41.21,4.17
982,14.41.21,4.18
983,14.41.21,4.17
984,14.41.21,4.18
985,14.41.21,4.17
986,14.41.21,4.18
987,14.41.22,4.16
988,14.41.22,4.16
989,14.41.22,4.15
990,14.41.22,4.19
991,14.41.22,4.18
992,14.41.22,4.17
993,14.41.22,4.15
994,14.41.22,4.08
995,14.41.22,3.81
996,14.41.22,3.3
997,14.41.22,2.96
998,14.41.22,3.07
999,14.41.22,3.62
